001,Wholesale customer - Andorre
002,Wholesale customer - Austria
003,Wholesale customer - Azerbaidjan
004,Wholesale customer - Bulgaria
005,Wholesale customer - Serbia and Montenegro
006,Wholesale customer - Republic Dominicana
007,Wholesale customer - Finlande
008,Wholesale customer - Greece
009,Wholesale customer - Croatia
010,Wholesale customer - Hungria
011,Wholesale customer - Kazakhstan
012,Wholesale customer - Lituania
013,Wholesale customer - Lettonia
014,Wholesale customer - Netherland
015,Wholesale customer - Pologne
016,Wholesale customer - Portugal
017,Wholesale customer - Roumania
018,Wholesale customer - Switzerland
019,Wholesale customer - Sweden
020,Wholesale customer - Slovenia
021,Wholesale customer - Ukraine
022,Wholesale customer - Ousbekistan
023,Wholesale customer - England Virgin Island
024,Wholesale customer - Lebanon
025,Wholesale customer - Syria
026,Wholesale customer - Turkey
027,Wholesale customer - Republic of Panama
028,Wholesale customer - Venezuela
029,Wholesale customer - Mauritius
030,Wholesale customer - New Zealand
031,Wholesale customer - Philippines
032,Wholesale customer - France
033,Wholesale customer - Russia
034,Wholesale customer - Belgium
035,Wholesale customer - Spain
036,Wholesale customer - Great Britain
037,Wholesale customer - Ireland
038,Wholesale customer - Italy
039,Wholesale customer - Germany
040,Wholesale customer - Czech Republic
041,Wholesale customer - United Arab Emirates
042,Wholesale customer - Kuwait
043,Wholesale customer - Qatar
044,Wholesale customer - Bahrein
045,Wholesale customer - USA
046,Wholesale customer - Mexico
047,Wholesale customer - Hong Kong
048,Wholesale customer - Korea
049,Wholesale customer - Singapore
050,Wholesale customer - Indonesia
051,Wholesale customer - Australia
052,Wholesale customer - China
053,Wholesale customer - Japan
054,Wholesale customer - Armenia
055,Wholesale customer - Argentina
056,Wholesale customer - Ivory Coast
057,Wholesale customer - Cyprus
058,Wholesale customer - Danemark
059,Wholesale customer - Egypt
060,Wholesale customer - Georgia
061,Wholesale customer - Irsrael
062,Wholesale customer - Island
063,Wholesale customer - Jordan
064,Wholesale customer - Luxembourg
065,Wholesale customer - Moldava
066,Wholesale customer - Norway
067,Wholesale customer - Pakistan
068,Wholesale customer - Paraguay
069,Wholesale customer - South Africa
070,Wholesale customer - Canada
071,Wholesale customer - Inde
072,Wholesale customer - Saoudi Arabia
073,Wholesale customer - Thailand
074,Wholesale customer - Taiwan
075,Wholesale customer - Others
076,Retail customer - Others
101,Paris - Montaigne
102,Paris - Saint Germain des Prés
103,Saint Honoré
104,Paris - Bon Marché
105,Paris - Printemps
106,Paris - Galeries Lafayette
107,Paris - Franck & Fils
108,Paris - Montaigne Joaillerie
109,Madelios
110,Paris - Vendôme Joaillerie
111,Paris - Saint Germain Homme
112,Paris - Total Corners Joaillerie
113,PAR Braderie
114,Paris Royale Baby
115,Paris - Rue Royale
116,Paris - Deauville
117,Paris - Faubourg Saint Honoré
118,Paris - Printemps Baby
119,Paris - Galeries Lafayette Baby
120,Paris - Aéroport de Paris 2E
121,Paris Montaigne Homme
122,Paris Royale Homme
123,104bis Bon Marche Babylone
124,Paris - Montaigne PopUp
150,Europe - E-Commerce
151,France E-Commerce
152,UK E-Commerce
153,Allemagne E-Commerce
154,Italie E-Commerce
155,FR Ecommerce Babylone
160,Costa Mesa - South Coast Plaza Homme
180,Istanbul
181,TUR Family Sales
182,Zorlou
190,Dubaï Burjuman
191,Luxembourg Philippe II
192,Rome Piazza
195,Marrakech
196,Casablanca
197,Morocco Mall
198,Saint Tropez - Homme
199,Lisbonne
200,Capri
201,Monaco
202,Cannes Croisette
203,Lyon
204,Nice - Galeries Lafayette
205,Saint Tropez - Maison du tourisme
206,Courchevel
207,Versailles Outlet Baby
208,Orléans Outlet Baby
